permalink,name,category_list,status,country_code,founded_at,company_permalink,funding_round_type,funded_at,raised_amount_usd,main_sector
365scores,365Scores,Android,operating,GBR,01-01-2008,365scores,venture,29-09-2014,5500000.0,"Social, Finance, Analytics, Advertising"
7digital,7digital,Content Creators,acquired,GBR,01-01-2004,7digital,venture,01-01-2008,8468328.0,Entertainment
7digital,7digital,Content Creators,acquired,GBR,01-01-2004,7digital,venture,19-10-2012,10000000.0,Entertainment
90min,90min,Media,operating,GBR,01-01-2011,90min,venture,06-10-2015,15000000.0,Entertainment
90min,90min,Media,operating,GBR,01-01-2011,90min,venture,07-05-2013,5800000.0,Entertainment
abcodia,Abcodia,Biotechnology,operating,GBR,01-01-2010,abcodia,venture,18-05-2015,8259067.0,Cleantech / Semiconductors
acacia-pharma,Acacia Pharma,Biotechnology,operating,GBR,01-01-2006,acacia-pharma,venture,31-03-2011,10000000.0,Cleantech / Semiconductors
acal-energy,ACAL Energy,Clean Technology,operating,GBR,01-08-2004,acal-energy,venture,15-06-2011,9910333.0,Cleantech / Semiconductors
acal-enterprise-solutions,Acal Enterprise Solutions,Information Technology,operating,GBR,01-01-1990,acal-enterprise-solutions,venture,03-06-2014,10720178.0,"Social, Finance, Analytics, Advertising"
accent-media-ltd,Accent Media Limited,Domains,operating,GBR,21-02-2012,accent-media-ltd,venture,01-07-2013,8300000.0,"News, Search and Messaging"
accumuli-security,Accumuli Security,Content,operating,GBR,01-01-1996,accumuli-security,venture,01-11-2010,8033458.0,Entertainment
accunostics,AccuNostics,Health Care,operating,GBR,01-01-2008,accunostics,venture,15-09-2011,6321095.0,Health
acs-clothing,ACS Clothing,E-Commerce,operating,GBR,01-01-1997,acs-clothing,venture,28-09-2015,13359377.0,Others
acs-clothing,ACS Clothing,E-Commerce,operating,GBR,01-01-1997,acs-clothing,venture,02-03-2014,12879637.0,Others
adbrain,Adbrain,Advertising,operating,GBR,01-01-2012,adbrain,venture,11-03-2014,7500000.0,"Social, Finance, Analytics, Advertising"
adinsight,ResponseTap,Advertising,operating,GBR,01-06-2008,adinsight,venture,07-05-2014,6772812.0,"Social, Finance, Analytics, Advertising"
adjug,Adjug,Advertising,acquired,GBR,01-01-2007,adjug,venture,01-03-2008,6500000.0,"Social, Finance, Analytics, Advertising"
aea-technology,AEA Technology,Clean Technology,acquired,GBR,,aea-technology,venture,28-08-2008,6500000.0,Cleantech / Semiconductors
aepona,Aepona,Web Hosting,acquired,GBR,01-01-1999,aepona,venture,30-06-2010,10000000.0,Others
aepona,Aepona,Web Hosting,acquired,GBR,01-01-1999,aepona,venture,05-02-2007,10000000.0,Others
aihit,aiHit,Analytics,acquired,GBR,01-01-2007,aihit,venture,07-10-2011,5500000.0,"Social, Finance, Analytics, Advertising"
alfresco,Alfresco,Document Management,operating,GBR,01-01-2005,alfresco,venture,22-01-2008,13000000.0,Others
alfresco,Alfresco,Document Management,operating,GBR,01-01-2005,alfresco,venture,08-02-2006,8000000.0,Others
almondy,Almondy,Hospitality,operating,GBR,01-01-1992,almondy,venture,22-03-2005,5407412.0,Others
alphamosaic-ltd,Alphamosaic,Video,acquired,GBR,,alphamosaic-ltd,venture,21-05-2003,12000000.0,Entertainment
amee,AMEE,Carbon,acquired,GBR,01-01-2007,amee,venture,08-02-2010,5500000.0,Cleantech / Semiconductors
amino-communications,Amino Communications,Entertainment,operating,GBR,01-01-1997,amino-communications,venture,21-11-2003,8505908.0,Entertainment
amplience,Amplience,Brand Marketing,operating,GBR,01-01-2008,amplience,venture,19-11-2015,8000000.0,"Social, Finance, Analytics, Advertising"
amplience,Amplience,Brand Marketing,operating,GBR,01-01-2008,amplience,venture,26-03-2015,10500000.0,"Social, Finance, Analytics, Advertising"
amplience,Amplience,Brand Marketing,operating,GBR,01-01-2008,amplience,venture,30-07-2013,5700000.0,"Social, Finance, Analytics, Advertising"
ancoa-software,Ancoa Software,Big Data Analytics,operating,GBR,10-05-2010,ancoa-software,venture,21-09-2015,6367595.0,"Social, Finance, Analytics, Advertising"
antenna-software,Antenna Software,Software,acquired,GBR,01-01-1998,antenna-software,venture,25-06-2010,6374457.0,Others
antenova,Antenova,Hardware + Software,operating,GBR,01-01-1999,antenova,venture,06-06-2007,10000000.0,Manufacturing
antenova,Antenova,Hardware + Software,operating,GBR,01-01-1999,antenova,venture,20-01-2005,12000000.0,Manufacturing
antenova,Antenova,Hardware + Software,operating,GBR,01-01-1999,antenova,venture,21-10-2008,6500000.0,Manufacturing
aomi,AOMi,Software,operating,GBR,01-01-2005,aomi,venture,18-03-2014,7576257.0,Others
apitope,Apitope,Biotechnology,operating,GBR,01-01-2002,apitope,venture,29-09-2015,13456610.0,Cleantech / Semiconductors
appear-here,Appear Here,Brand Marketing,operating,GBR,01-01-2013,appear-here,venture,26-11-2014,7500000.0,"Social, Finance, Analytics, Advertising"
applied-superconductor,Applied Superconductor,Semiconductors,operating,GBR,,applied-superconductor,venture,17-06-2011,5933707.0,Cleantech / Semiconductors
apsu,APSU,Web Hosting,operating,GBR,01-01-1989,apsu,venture,23-10-2014,11200000.0,Others
arkex,ARKeX,Consulting,operating,GBR,01-01-2004,arkex,venture,14-12-2005,8860386.0,"Social, Finance, Analytics, Advertising"
artesian-solutions,Artesian Solutions,Banking,operating,GBR,01-02-2006,artesian-solutions,venture,19-06-2015,8000000.0,"Social, Finance, Analytics, Advertising"
arvia-technology,Arvia Technology,Clean Technology,operating,GBR,01-01-2007,arvia-technology,venture,16-04-2012,6015704.0,Cleantech / Semiconductors
arvia-technology,Arvia Technology,Clean Technology,operating,GBR,01-01-2007,arvia-technology,venture,01-04-2015,5928678.0,Cleantech / Semiconductors
aspex-semiconductor,Aspex Semiconductor,Semiconductors,operating,GBR,,aspex-semiconductor,venture,16-04-2004,10000000.0,Cleantech / Semiconductors
astleyclarke,Astley Clarke,Fashion,operating,GBR,01-01-1996,astleyclarke,venture,30-06-2008,5473908.0,Entertainment
